"Voter.ID","Permanent.Absentee","Registration.Date","Original.Registration.Date","Party","Precinct","Age","X6.22.2010","X11.2.2010","X9.13.2011","X11.8.2011","X6.26.2012","X11.6.2012","X8.13.2013","X11.5.2013","X6.24.2014","X11.4.2014","X8.11.2015","X11.3.2015","X6.28.2016","X11.8.2016","X8.15.2017","X11.7.2017","X6.26.2018","X11.6.2018","lon","lat","min.c.dist","Voted_X6.22.2010","Voted_X11.2.2010","Voted_X9.13.2011","Voted_X11.8.2011","Voted_X6.26.2012","Voted_X11.6.2012","Voted_X8.13.2013","Voted_X11.5.2013","Voted_X6.24.2014","Voted_X11.4.2014","Voted_X8.11.2015","Voted_X11.3.2015","Voted_X6.28.2016","Voted_X11.8.2016","Voted_X8.15.2017","Voted_X11.7.2017","Voted_X6.26.2018","Voted_X11.6.2018","X11.5.2019","Voted_X11.5.2019"
1564058,"","7/2/2018","4/20/2012","Libertarian","SR01",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,"6/26/2018",NA,-111.9270277,40.3728858,1197.39368224162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,0
1814947,"","12/29/2015","12/29/2015","Unaffiliated","SR01",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/1/2018",-111.9270277,40.3728858,1197.39368224162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0
6176952,"","11/4/2016","8/18/2006","Unaffiliated","SR01",35,NA,"11/2/2010",NA,NA,NA,"11/6/2012",NA,NA,NA,"11/4/2014",NA,NA,NA,"11/4/2016",NA,NA,NA,NA,-111.9358307,40.3823395,992.403797345809,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,NA,0
1908894,"","9/23/2016","9/23/2016","Republican","SR01",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.9270106,40.3720435,1214.84570738421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0
1483525,"","11/18/2016","10/4/2010","Republican","SR01",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.9270106,40.3720435,1214.84570738421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0
3008910,"YES","4/12/2017","3/6/1996","Republican","SR01",60,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/26/2018",-111.9418858,40.3740727,80.1917654589987,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0
6377431,"YES","10/5/2016","2/15/1997","Unaffiliated","SR01",81,NA,"11/2/2010",NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,"11/11/2016","8/23/2017",NA,NA,NA,-111.9266783,40.367239,1448.68653888888,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0
1589574,"YES","10/5/2016","8/21/2012","Unaffiliated","SR01",93,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,"11/10/2016","8/15/2017",NA,NA,NA,-111.9266783,40.367239,1448.68653888888,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0
6372409,"","10/31/2016","6/6/2004","Republican","SR01",37,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,"11/3/2015",NA,NA,NA,NA,NA,NA,-111.9442612,40.3743979,277.011678772088,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0
3241385,"","10/31/2016","2/26/2004","Republican","SR01",35,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9442612,40.3743979,277.011678772088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
